date,commit,platform,line_coverage,lines_hit,lines_found,region_coverage,regions_hit,regions_found,function_coverage,functions_hit,functions_found,branch_coverage,branches_hit,branches_found,slangc_line_coverage,slangc_lines_hit,slangc_lines_found,slangc_region_coverage,slangc_regions_hit,slangc_regions_found,slangc_function_coverage,slangc_functions_hit,slangc_functions_found,slangc_branch_coverage,slangc_branches_hit,slangc_branches_found
2026-03-13,68dc11196,linux,73.79%,341424,89488,49.22%,173145,87915,69.31%,19928,6115,67.30%,96670,31608,76.79%,238145,55262,76.51%,104885,24635,78.83%,13784,2918,72.48%,85198,23445
2026-03-13,68dc11196,macos,73.26%,343460,91854,48.75%,190124,97446,63.17%,21824,8037,66.64%,99576,33219,76.10%,240310,57445,73.83%,118093,30903,72.73%,14913,4067,71.63%,87984,24957
2026-03-12,5cde9ea5f,linux,73.79%,341338,89470,49.22%,173107,87905,69.31%,19925,6115,67.31%,96642,31596,76.79%,238059,55244,76.51%,104847,24625,78.83%,13781,2918,72.49%,85170,23433
2026-03-12,5cde9ea5f,macos,73.26%,343374,91829,48.76%,189545,97128,63.17%,21821,8036,66.64%,99546,33204,76.09%,240224,57428,73.97%,117514,30589,72.72%,14910,4067,71.64%,87954,24943
2026-03-11,38b5b8385,linux,73.84%,339118,88720,49.10%,171895,87501,69.52%,19720,6010,67.26%,95922,31407,76.82%,236403,54791,76.49%,103931,24437,79.03%,13674,2868,72.46%,84552,23285
2026-03-11,38b5b8385,macos,73.29%,341166,91119,48.65%,188223,96645,63.36%,21594,7911,66.57%,98826,33034,76.12%,238559,56977,73.95%,116569,30370,72.89%,14794,4010,71.61%,87336,24795
2026-03-10,7c01ab889,linux,73.83%,338970,88716,49.08%,171821,87498,69.51%,19714,6010,67.25%,95858,31396,76.81%,236298,54791,76.47%,103860,24435,79.01%,13671,2869,72.45%,84488,23274
2026-03-10,7c01ab889,macos,73.28%,341019,91115,48.64%,188137,96634,63.35%,21588,7911,66.56%,98760,33023,76.11%,238455,56977,73.94%,116486,30360,72.88%,14791,4011,71.60%,87270,24784
2026-03-09,d138e768f,linux,73.82%,339003,88764,49.07%,171821,87507,69.51%,19714,6010,67.24%,95858,31406,76.79%,236301,54839,76.46%,103860,24444,79.01%,13671,2869,72.44%,84488,23284
2026-03-09,d138e768f,macos,73.28%,341052,91134,48.65%,188137,96607,63.36%,21588,7909,66.57%,98760,33013,76.09%,238458,57013,73.93%,116486,30366,72.90%,14791,4009,71.59%,87270,24793
2026-03-08,aa13debab,linux,73.81%,338994,88795,49.06%,171817,87517,69.49%,19714,6014,67.23%,95854,31408,76.79%,236292,54844,76.46%,103856,24446,79.01%,13671,2869,72.44%,84484,23286
2026-03-08,aa13debab,macos,73.26%,341043,91194,48.62%,188133,96654,63.34%,21588,7915,66.55%,98756,33032,76.08%,238449,57030,73.93%,116482,30372,72.88%,14791,4011,71.59%,87266,24793
2026-03-07,868c15814,linux,73.81%,338916,88761,49.07%,171821,87515,69.49%,19714,6014,67.24%,95854,31406,76.80%,236256,54810,76.46%,103860,24444,79.01%,13671,2869,72.44%,84484,23284
2026-03-07,868c15814,macos,73.27%,340965,91131,48.65%,188135,96614,63.35%,21588,7913,66.57%,98756,33012,76.10%,238413,56984,73.93%,116484,30365,72.90%,14791,4009,71.59%,87266,24792
2026-03-06,b9f7830f6,linux,73.77%,338011,88662,49.01%,171200,87287,69.48%,19667,6003,67.19%,95514,31336,76.76%,235522,54743,76.40%,103473,24420,79.00%,13646,2866,72.42%,84164,23215
2026-03-06,b9f7830f6,macos,73.23%,340060,91020,48.59%,187473,96372,63.33%,21535,7896,66.52%,98412,32945,76.06%,237676,56907,73.87%,116071,30332,72.88%,14763,4003,71.56%,86942,24726
2026-02-01,45774a448,linux,74.61%,327742,83228,49.81%,182478,91586,74.03%,20233,5254,66.30%,97616,32894,,,,,,,,,,,,
2026-02-01,45774a448,macos,74.65%,327762,83082,49.91%,183652,92000,73.83%,20237,5297,66.43%,97614,32771,,,,,,,,,,,,
2026-01-01,528ddf730,linux,74.39%,322297,82525,50.34%,177953,88367,73.92%,20062,5233,66.28%,96142,32422,,,,,,,,,,,,
2026-01-01,528ddf730,macos,74.43%,322317,82406,50.45%,179122,88760,73.72%,20066,5273,66.40%,96140,32300,,,,,,,,,,,,
