Filename                                                                                                Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
build/prelude/slang-cpp-host-prelude.h.cpp                                                                    1                 0   100.00%           1                 0   100.00%       20457                 0   100.00%           0                 0         -
build/prelude/slang-cpp-prelude.h.cpp                                                                         1                 0   100.00%           1                 0   100.00%        4243                 0   100.00%           0                 0         -
build/prelude/slang-cuda-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%        8651                 0   100.00%           0                 0         -
build/prelude/slang-hlsl-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%          15                 0   100.00%           0                 0         -
build/prelude/slang-torch-prelude.h.cpp                                                                       1                 0   100.00%           1                 0   100.00%       15386                 0   100.00%           0                 0         -
build/source/slang-core-module/core-module-meta/core.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/diff.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/glsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/hlsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang/capability/slang-generated-capability-defs-impl.h                                        465                 0   100.00%         464                 0   100.00%        3614                 0   100.00%           2                 0   100.00%
build/source/slang/capability/slang-lookup-capability-defs.cpp                                                6                 0   100.00%           2                 0   100.00%         705                 0   100.00%           4                 0   100.00%
build/source/slang/fiddle/slang-ast-base.h.fiddle                                                            13                13     0.00%          13                13     0.00%          13                13     0.00%           0                 0         -
build/source/slang/fiddle/slang-ast-decl.h.fiddle                                                            72                 2    97.22%          72                 2    97.22%          72                 2    97.22%           0                 0         -
build/source/slang/fiddle/slang-ast-dispatch.h.fiddle                                                      1182               580    50.93%          11                 0   100.00%        2375              1160    51.16%        2320               581    74.96%
