Filename                                                                                                Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
build/prelude/slang-cpp-host-prelude.h.cpp                                                                    1                 0   100.00%           1                 0   100.00%       20639                 0   100.00%           0                 0         -
build/prelude/slang-cpp-prelude.h.cpp                                                                         1                 0   100.00%           1                 0   100.00%        4297                 0   100.00%           0                 0         -
build/prelude/slang-cuda-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%        8651                 0   100.00%           0                 0         -
build/prelude/slang-hlsl-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%          15                 0   100.00%           0                 0         -
build/prelude/slang-torch-prelude.h.cpp                                                                       1                 0   100.00%           1                 0   100.00%       15554                 0   100.00%           0                 0         -
build/source/slang-core-module/core-module-meta/core.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/diff.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/glsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/hlsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang/capability/slang-generated-capability-defs-impl.h                                        482                 0   100.00%         481                 0   100.00%        3772                 0   100.00%           2                 0   100.00%
build/source/slang/capability/slang-lookup-capability-defs.cpp                                                6                 0   100.00%           2                 0   100.00%         721                 0   100.00%           4                 0   100.00%
build/source/slang/fiddle/slang-ast-base.h.fiddle                                                            13                13     0.00%          13                13     0.00%          13                13     0.00%           0                 0         -
build/source/slang/fiddle/slang-ast-decl.h.fiddle                                                            73                 2    97.26%          73                 2    97.26%          73                 2    97.26%           0                 0         -
build/source/slang/fiddle/slang-ast-dispatch.h.fiddle                                                      1200               583    51.42%          11                 0   100.00%        2411              1166    51.64%        2356               584    75.21%
build/source/slang/fiddle/slang-ast-dump.cpp.fiddle                                                        2094               698    66.67%         698               698     0.00%        3790              3092    18.42%           0                 0         -
build/source/slang/fiddle/slang-ast-expr.h.fiddle                                                           101                 8    92.08%         101                 8    92.08%         101                 8    92.08%           0                 0         -
build/source/slang/fiddle/slang-ast-modifier.h.fiddle                                                       273                26    90.48%         273                26    90.48%         273                26    90.48%           0                 0         -
build/source/slang/fiddle/slang-ast-stmt.h.fiddle                                                            36                 2    94.44%          36                 2    94.44%          36                 2    94.44%           0                 0         -
build/source/slang/fiddle/slang-ast-type.h.fiddle                                                           131                10    92.37%         131                10    92.37%         131                10    92.37%           0                 0         -
build/source/slang/fiddle/slang-ast-val.h.fiddle                                                             68                 8    88.24%          68                 8    88.24%          68                 8    88.24%           0                 0         -
build/source/slang/fiddle/slang-capability-val.h.fiddle                                                       3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
build/source/slang/fiddle/slang-ir-insts.h.fiddle                                                          1815               944    47.99%        1699               923    45.67%        5185              2845    45.13%         168                27    83.93%
build/source/slang/fiddle/slang-ir.h.fiddle                                                                  64                11    82.81%          64                11    82.81%         185                26    85.95%           0                 0         -
build/source/slang/fiddle/slang-rich-diagnostics.cpp.fiddle                                                2343               483    79.39%        1642               374    77.22%       13211              2907    78.00%          28                13    53.57%
build/source/slang/fiddle/slang-serialize-ast.cpp.fiddle                                                   2159               495    77.07%         723               495    31.54%        3901              2147    44.96%           0                 0         -
build/source/slang/fiddle/slang-serialize-ir.cpp.fiddle                                                      30                12    60.00%          15                12    20.00%          60                36    40.00%           0                 0         -
build/source/slang/fiddle/slang-visitor.h.fiddle                                                            870               160    81.61%         870               160    81.61%        2610               480    81.61%           0                 0         -
build/source/slang/slang-lookup-tables/slang-lookup-GLSLstd450.cpp                                            6                 1    83.33%           2                 0   100.00%         117                 4    96.58%           4                 1    75.00%
build/source/slang/slang-lookup-tables/slang-spirv-core-grammar-embed.cpp                                  3066              2741    10.60%          18                 5    72.22%       15663             10285    34.34%        6072              4884    19.57%
build/source/slang/slang-version-header/slang-tag-version.h                                                   0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/standard-modules/slang-standard-module-config-header/slang-standard-module-config.h              0                 0         -           0                 0         -           0                 0         -           0                 0         -
external/dxc/WinAdapter.h                                                                                     7                 5    28.57%           7                 5    28.57%          23                19    17.39%           0                 0         -
include/slang-com-helper.h                                                                                   18                 3    83.33%           6                 2    66.67%          33                13    60.61%          12                 2    83.33%
include/slang-com-ptr.h                                                                                      37                 0   100.00%          16                 0   100.00%          70                 0   100.00%          16                 1    93.75%
include/slang.h                                                                                             195                67    65.64%         195                67    65.64%         701               219    68.76%           0                 0         -
source/compiler-core/slang-artifact-associated-impl.cpp                                                     360                26    92.78%          44                 4    90.91%         402                58    85.57%         166                29    82.53%
source/compiler-core/slang-artifact-associated-impl.h                                                        70                 4    94.29%          17                 4    76.47%          79                20    74.68%          50                 2    96.00%
source/compiler-core/slang-artifact-associated.h                                                              1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
source/compiler-core/slang-artifact-container-util.cpp                                                      379                76    79.95%          38                 5    86.84%         485                89    81.65%         198                38    80.81%
source/compiler-core/slang-artifact-desc-util.cpp                                                           514               128    75.10%          33                 4    87.88%         681               231    66.08%         390               134    65.64%
source/compiler-core/slang-artifact-desc-util.h                                                               5                 0   100.00%           1                 0   100.00%           4                 0   100.00%           6                 2    66.67%
source/compiler-core/slang-artifact-diagnostic-util.cpp                                                      47                10    78.72%           5                 1    80.00%          90                21    76.67%          32                14    56.25%
source/compiler-core/slang-artifact-handler-impl.cpp                                                        191                39    79.58%          11                 4    63.64%         229                57    75.11%         102                27    73.53%
source/compiler-core/slang-artifact-handler-impl.h                                                            3                 2    33.33%           3                 2    33.33%           3                 2    33.33%           0                 0         -
source/compiler-core/slang-artifact-helper.cpp                                                               65                39    40.00%          22                19    13.64%         108                74    31.48%          20                13    35.00%
source/compiler-core/slang-artifact-helper.h                                                                  4                 2    50.00%           4                 2    50.00%           3                 2    33.33%           0                 0         -
source/compiler-core/slang-artifact-impl.cpp                                                                164                37    77.44%          30                 7    76.67%         269                83    69.14%          98                39    60.20%
source/compiler-core/slang-artifact-impl.h                                                                   21                 0   100.00%           9                 0   100.00%          22                 0   100.00%           0                 0         -
source/compiler-core/slang-artifact-representation-impl.cpp                                                 151                37    75.50%          22                 4    81.82%         181                53    70.72%          98                36    63.27%
source/compiler-core/slang-artifact-representation-impl.h                                                    74                 8    89.19%          25                 8    68.00%          54                19    64.81%           2                 0   100.00%
source/compiler-core/slang-artifact-util.cpp                                                                116                73    37.07%          25                15    40.00%         219               147    32.88%          76                57    25.00%
source/compiler-core/slang-artifact.h                                                                        49                 8    83.67%          26                 7    73.08%          76                24    68.42%          14                 6    57.14%
source/compiler-core/slang-command-line-args.cpp                                                            127                 5    96.06%          13                 0   100.00%         236                14    94.07%          66                 7    89.39%
source/compiler-core/slang-command-line-args.h                                                               34                 3    91.18%          22                 2    90.91%          49                 5    89.80%           6                 1    83.33%
source/compiler-core/slang-core-diagnostics.cpp                                                               4                 0   100.00%           2                 0   100.00%          10                 0   100.00%           0                 0         -
source/compiler-core/slang-diagnostic-sink.cpp                                                              309                77    75.08%          46                10    78.26%         621               181    70.85%         216                77    64.35%
source/compiler-core/slang-diagnostic-sink.h                                                                 66                 8    87.88%          34                 6    82.35%         122                22    81.97%          36                 3    91.67%
source/compiler-core/slang-doc-extractor.cpp                                                                447                66    85.23%          19                 0   100.00%         704               104    85.23%         374                75    79.95%
source/compiler-core/slang-doc-extractor.h                                                                    9                 1    88.89%           7                 1    85.71%          16                 1    93.75%           4                 1    75.00%
