Filename                                                                                                Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
build/prelude/slang-cpp-host-prelude.h.cpp                                                                    1                 0   100.00%           1                 0   100.00%       20769                 0   100.00%           0                 0         -
build/prelude/slang-cpp-prelude.h.cpp                                                                         1                 0   100.00%           1                 0   100.00%        4324                 0   100.00%           0                 0         -
build/prelude/slang-cuda-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%        8655                 0   100.00%           0                 0         -
build/prelude/slang-hlsl-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%          15                 0   100.00%           0                 0         -
build/prelude/slang-torch-prelude.h.cpp                                                                       1                 0   100.00%           1                 0   100.00%       15623                 0   100.00%           0                 0         -
build/source/slang-core-module/core-module-meta/core.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/diff.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/glsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/hlsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang/capability/slang-generated-capability-defs-impl.h                                        483                 0   100.00%         482                 0   100.00%        3782                 0   100.00%           2                 0   100.00%
build/source/slang/capability/slang-lookup-capability-defs.cpp                                                6                 0   100.00%           2                 0   100.00%         724                 0   100.00%           4                 0   100.00%
build/source/slang/fiddle/slang-ast-base.h.fiddle                                                            13                13     0.00%          13                13     0.00%          13                13     0.00%           0                 0         -
build/source/slang/fiddle/slang-ast-clone.cpp.fiddle                                                       2808               676    75.93%         702               676     3.70%        4519              3662    18.96%           0                 0         -
build/source/slang/fiddle/slang-ast-decl.h.fiddle                                                            74                 2    97.30%          74                 2    97.30%          74                 2    97.30%           0                 0         -
