Filename                                                                                                Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
build/prelude/slang-cpp-host-prelude.h.cpp                                                                    1                 0   100.00%           1                 0   100.00%       20846                 0   100.00%           0                 0         -
build/prelude/slang-cpp-prelude.h.cpp                                                                         1                 0   100.00%           1                 0   100.00%        4324                 0   100.00%           0                 0         -
build/prelude/slang-cuda-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%        8696                 0   100.00%           0                 0         -
build/prelude/slang-hlsl-prelude.h.cpp                                                                        1                 0   100.00%           1                 0   100.00%          15                 0   100.00%           0                 0         -
build/prelude/slang-torch-prelude.h.cpp                                                                       1                 0   100.00%           1                 0   100.00%       15698                 0   100.00%           0                 0         -
build/source/slang-core-module/core-module-meta/core.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/diff.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/glsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang-core-module/core-module-meta/hlsl.meta.slang.h                                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/slang/capability/slang-generated-capability-defs-impl.h                                        484                 0   100.00%         483                 0   100.00%        3792                 0   100.00%           2                 0   100.00%
build/source/slang/capability/slang-lookup-capability-defs.cpp                                                6                 0   100.00%           2                 0   100.00%         730                 0   100.00%           4                 0   100.00%
build/source/slang/fiddle/slang-ast-base.h.fiddle                                                            13                13     0.00%          13                13     0.00%          13                13     0.00%           0                 0         -
build/source/slang/fiddle/slang-ast-clone.cpp.fiddle                                                       2808               676    75.93%         702               676     3.70%        4519              3662    18.96%           0                 0         -
build/source/slang/fiddle/slang-ast-decl.h.fiddle                                                            74                 2    97.30%          74                 2    97.30%          74                 2    97.30%           0                 0         -
build/source/slang/fiddle/slang-ast-dispatch.h.fiddle                                                      1211               579    52.19%          11                 0   100.00%        2433              1158    52.40%        2378               580    75.61%
build/source/slang/fiddle/slang-ast-dump.cpp.fiddle                                                        2106               702    66.67%         702               702     0.00%        3817              3115    18.39%           0                 0         -
build/source/slang/fiddle/slang-ast-expr.h.fiddle                                                           102                 8    92.16%         102                 8    92.16%         102                 8    92.16%           0                 0         -
build/source/slang/fiddle/slang-ast-modifier.h.fiddle                                                       273                26    90.48%         273                26    90.48%         273                26    90.48%           0                 0         -
build/source/slang/fiddle/slang-ast-stmt.h.fiddle                                                            36                 1    97.22%          36                 1    97.22%          36                 1    97.22%           0                 0         -
build/source/slang/fiddle/slang-ast-type.h.fiddle                                                           133                10    92.48%         133                10    92.48%         133                10    92.48%           0                 0         -
build/source/slang/fiddle/slang-ast-val.h.fiddle                                                             68                 8    88.24%          68                 8    88.24%          68                 8    88.24%           0                 0         -
build/source/slang/fiddle/slang-capability-val.h.fiddle                                                       3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
