Filename                                                                                                Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
build/source/slang/slang-version-header/slang-tag-version.h                                                   0                 0         -           0                 0         -           0                 0         -           0                 0         -
build/source/standard-modules/slang-standard-module-config-header/slang-standard-module-config.h              0                 0         -           0                 0         -           0                 0         -           0                 0         -
source/compiler-core/slang-artifact-associated-impl.cpp                                                     379                25    93.40%          44                 4    90.91%         403                53    86.85%         181                31    82.87%
source/compiler-core/slang-artifact-associated-impl.h                                                        70                 3    95.71%          17                 3    82.35%          79                17    78.48%          50                 2    96.00%
source/compiler-core/slang-artifact-associated.h                                                              1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
source/compiler-core/slang-artifact-container-util.cpp                                                      379                76    79.95%          38                 5    86.84%         485                89    81.65%         198                38    80.81%
source/compiler-core/slang-artifact-desc-util.cpp                                                           514               129    74.90%          33                 4    87.88%         681               232    65.93%         396               133    66.41%
source/compiler-core/slang-artifact-desc-util.h                                                               5                 0   100.00%           1                 0   100.00%           4                 0   100.00%           6                 2    66.67%
source/compiler-core/slang-artifact-diagnostic-util.cpp                                                      47                 9    80.85%           5                 1    80.00%          90                18    80.00%          32                13    59.38%
source/compiler-core/slang-artifact-handler-impl.cpp                                                        191                38    80.10%          11                 4    63.64%         229                57    75.11%         102                28    72.55%
source/compiler-core/slang-artifact-handler-impl.h                                                            3                 2    33.33%           3                 2    33.33%           3                 2    33.33%           0                 0         -
source/compiler-core/slang-artifact-helper.cpp                                                               65                39    40.00%          22                19    13.64%         108                74    31.48%          20                13    35.00%
source/compiler-core/slang-artifact-helper.h                                                                  4                 2    50.00%           4                 2    50.00%           3                 2    33.33%           0                 0         -
source/compiler-core/slang-artifact-impl.cpp                                                                164                37    77.44%          30                 7    76.67%         269                82    69.52%          98                39    60.20%
source/compiler-core/slang-artifact-impl.h                                                                   21                 0   100.00%           9                 0   100.00%          22                 0   100.00%           0                 0         -
source/compiler-core/slang-artifact-representation-impl.cpp                                                 151                37    75.50%          22                 4    81.82%         181                53    70.72%          98                36    63.27%
source/compiler-core/slang-artifact-representation-impl.h                                                    74                 8    89.19%          25                 8    68.00%          54                19    64.81%           2                 0   100.00%
source/compiler-core/slang-artifact-util.cpp                                                                116                73    37.07%          25                15    40.00%         219               147    32.88%          76                58    23.68%
source/compiler-core/slang-artifact.h                                                                        49                 8    83.67%          26                 7    73.08%          76                24    68.42%          14                 7    50.00%
source/compiler-core/slang-command-line-args.cpp                                                            127                11    91.34%          13                 0   100.00%         236                32    86.44%          66                13    80.30%
source/compiler-core/slang-command-line-args.h                                                               34                 3    91.18%          22                 2    90.91%          49                 5    89.80%           6                 1    83.33%
source/compiler-core/slang-core-diagnostics.cpp                                                               4                 0   100.00%           2                 0   100.00%          10                 0   100.00%           0                 0         -
source/compiler-core/slang-diagnostic-sink.cpp                                                              309                63    79.61%          46                 9    80.43%         621               144    76.81%         216                65    69.91%
source/compiler-core/slang-diagnostic-sink.h                                                                 66                 8    87.88%          34                 6    82.35%         122                22    81.97%          36                 3    91.67%
source/compiler-core/slang-downstream-compiler-set.cpp                                                       36                12    66.67%          10                 4    60.00%          72                23    68.06%          20                 9    55.00%
source/compiler-core/slang-downstream-compiler-set.h                                                          2                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
source/compiler-core/slang-downstream-compiler-util.cpp                                                     119                31    73.95%          19                 2    89.47%         306                83    72.88%          86                27    68.60%
source/compiler-core/slang-downstream-compiler-util.h                                                         7                 1    85.71%           4                 1    75.00%          11                 2    81.82%           0                 0         -
source/compiler-core/slang-downstream-compiler.cpp                                                           91                12    86.81%           6                 1    83.33%         172                51    70.35%          52                13    75.00%
source/compiler-core/slang-downstream-compiler.h                                                             83                32    61.45%          28                13    53.57%          97                47    51.55%           8                 2    75.00%
source/compiler-core/slang-dxc-compiler.cpp                                                                 334                96    71.26%          25                 4    84.00%         564               135    76.06%         208                97    53.37%
source/compiler-core/slang-fxc-compiler.cpp                                                                   7                 0   100.00%           1                 0   100.00%           6                 0   100.00%           0                 0         -
source/compiler-core/slang-gcc-compiler-util.cpp                                                            514               113    78.02%          24                 0   100.00%         732               234    68.03%         299               110    63.21%
source/compiler-core/slang-gcc-compiler-util.h                                                                5                 0   100.00%           4                 0   100.00%          12                 0   100.00%           0                 0         -
source/compiler-core/slang-glslang-compiler.cpp                                                             254                62    75.59%          22                 1    95.45%         394               105    73.35%         120                53    55.83%
source/compiler-core/slang-include-system.cpp                                                               111                17    84.68%           6                 1    83.33%         135                32    76.30%          48                 7    85.42%
source/compiler-core/slang-include-system.h                                                                   8                 3    62.50%           7                 3    57.14%          12                 3    75.00%           0                 0         -
source/compiler-core/slang-json-diagnostics.cpp                                                               3                 2    33.33%           2                 2     0.00%           9                 8    11.11%           0                 0         -
source/compiler-core/slang-json-lexer.cpp                                                                   208                63    69.71%          16                 6    62.50%         422               186    55.92%         227                72    68.28%
source/compiler-core/slang-json-lexer.h                                                                       8                 1    87.50%           6                 1    83.33%          15                 3    80.00%           0                 0         -
source/compiler-core/slang-json-native.cpp                                                                  299                56    81.27%          11                 3    72.73%         452               136    69.91%         166                37    77.71%
source/compiler-core/slang-json-native.h                                                                     10                 0   100.00%           4                 0   100.00%          12                 0   100.00%           0                 0         -
source/compiler-core/slang-json-parser.cpp                                                                  187                14    92.51%          26                 0   100.00%         367                34    90.74%         116                 8    93.10%
source/compiler-core/slang-json-parser.h                                                                     23                 6    73.91%          15                 6    60.00%          43                24    44.19%          12                 3    75.00%
source/compiler-core/slang-json-source-map-util.cpp                                                         164                18    89.02%          11                 0   100.00%         305                16    94.75%          90                 8    91.11%
source/compiler-core/slang-json-value.cpp                                                                   591               239    59.56%          81                27    66.67%        1250               578    53.76%         462               221    52.16%
source/compiler-core/slang-json-value.h                                                                      52                11    78.85%          36                 9    75.00%         117                15    87.18%          14                 7    50.00%
source/compiler-core/slang-lexer.cpp                                                                       1066                41    96.15%          58                 1    98.28%        1955                62    96.83%        1211                89    92.65%
source/compiler-core/slang-lexer.h                                                                           19                 5    73.68%          16                 5    68.75%          35                 7    80.00%           2                 0   100.00%
source/compiler-core/slang-llvm-compiler.cpp                                                                 23                 4    82.61%           1                 0   100.00%          26                 7    73.08%           8                 2    75.00%
source/compiler-core/slang-metal-compiler.cpp                                                                31                 7    77.42%           7                 2    71.43%          59                 5    91.53%          14                 4    71.43%
source/compiler-core/slang-name-convention-util.cpp                                                         106                15    85.85%           8                 0   100.00%         233                37    84.12%         102                19    81.37%
source/compiler-core/slang-name-convention-util.h                                                             3                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
source/compiler-core/slang-name.cpp                                                                          21                 3    85.71%           6                 0   100.00%          29                 1    96.55%          10                 3    70.00%
source/compiler-core/slang-nvrtc-compiler.cpp                                                               666               434    34.83%          40                37     7.50%         920               875     4.89%         356               307    13.76%
source/compiler-core/slang-pretty-writer.cpp                                                                 29                 1    96.55%           6                 1    83.33%          53                 3    94.34%          18                 1    94.44%
source/compiler-core/slang-pretty-writer.h                                                                   19                 3    84.21%          17                 3    82.35%          46                 3    93.48%           0                 0         -
source/compiler-core/slang-rich-diagnostics-render.cpp                                                      347                33    90.49%          28                 0   100.00%         639                44    93.11%         324                80    75.31%
source/compiler-core/slang-slice-allocator.cpp                                                               34                23    32.35%           8                 4    50.00%          85                57    32.94%          18                12    33.33%
source/compiler-core/slang-slice-allocator.h                                                                 16                 0   100.00%          12                 0   100.00%          34                 0   100.00%           2                 0   100.00%
source/compiler-core/slang-source-embed-util.cpp                                                            123                16    86.99%           9                 0   100.00%         246                39    84.15%         100                16    84.00%
source/compiler-core/slang-source-loc.cpp                                                                   341                59    82.70%          59                 5    91.53%         731               145    80.16%         233                76    67.38%
source/compiler-core/slang-source-loc.h                                                                      99                 8    91.92%          66                 7    89.39%         133                10    92.48%          24                 5    79.17%
source/compiler-core/slang-source-map.cpp                                                                   102                60    41.18%          11                 5    54.55%         166                95    42.77%          74                54    27.03%
source/compiler-core/slang-source-map.h                                                                      34                 0   100.00%           8                 0   100.00%          31                 0   100.00%          26                 5    80.77%
source/compiler-core/slang-spirv-core-grammar.cpp                                                            94                63    32.98%          10                 4    60.00%         188               188     0.00%          70                56    20.00%
source/compiler-core/slang-spirv-core-grammar.h                                                               8                 2    75.00%           2                 0   100.00%           8                 2    75.00%           4                 2    50.00%
source/compiler-core/slang-tint-compiler.cpp                                                                 60                33    45.00%           9                 8    11.11%          81                73     9.88%          22                16    27.27%
source/compiler-core/slang-token-defs.h                                                                       0                 0         -           0                 0         -           0                 0         -           0                 0         -
source/compiler-core/slang-token.cpp                                                                        395               265    32.91%           1                 0   100.00%          12                 7    41.67%         136                46    66.18%
source/compiler-core/slang-token.h                                                                           19                 2    89.47%          11                 2    81.82%          39                 9    76.92%           2                 0   100.00%
source/compiler-core/slang-visual-studio-compiler-util.cpp                                                  172               136    20.93%           7                 6    14.29%         370               359     2.97%         132               121     8.33%
source/compiler-core/slang-visual-studio-compiler-util.h                                                      4                 4     0.00%           4                 4     0.00%          11                11     0.00%           0                 0         -
source/core/slang-allocator.h                                                                                15                 0   100.00%           5                 0   100.00%          34                 0   100.00%           6                 0   100.00%
source/core/slang-archive-file-system.cpp                                                                    36                 8    77.78%           2                 0   100.00%          48                23    52.08%          20                 7    65.00%
source/core/slang-archive-file-system.h                                                                       3                 0   100.00%           1                 0   100.00%           4                 0   100.00%           4                 1    75.00%
source/core/slang-array-view.h                                                                                7                 7     0.00%           7                 7     0.00%          10                10     0.00%           0                 0         -
source/core/slang-blob-builder.cpp                                                                          116                 7    93.97%          28                 0   100.00%         286                26    90.91%          52                 9    82.69%
source/core/slang-blob-builder.h                                                                             12                 1    91.67%          10                 1    90.00%          22                 3    86.36%           0                 0         -
source/core/slang-blob.cpp                                                                                  114                40    64.91%          23                 6    73.91%         188                71    62.23%          68                33    51.47%
source/core/slang-blob.h                                                                                     97                11    88.66%          43                 8    81.40%         176                26    85.23%          28                 7    75.00%
source/core/slang-builtin-module-cache.cpp                                                                   38                 3    92.11%           2                 0   100.00%          23                 0   100.00%          14                 0   100.00%
source/core/slang-byte-encode-util.h                                                                         10                 0   100.00%           1                 0   100.00%           4                 0   100.00%           6                 0   100.00%
source/core/slang-castable.cpp                                                                               36                26    27.78%           4                 3    25.00%          47                37    21.28%          22                18    18.18%
source/core/slang-castable.h                                                                                 53                 4    92.45%          13                 2    84.62%          44                 8    81.82%          16                 3    81.25%
source/core/slang-char-encode.cpp                                                                            97                22    77.32%          16                 3    81.25%         169                43    74.56%          58                16    72.41%
source/core/slang-char-encode.h                                                                              75                12    84.00%          12                 3    75.00%         155                28    81.94%          48                10    79.17%
source/core/slang-char-util.cpp                                                                              14                 0   100.00%           2                 0   100.00%          41                 0   100.00%           8                 0   100.00%
source/core/slang-char-util.h                                                                                63                 1    98.41%          17                 1    94.12%          48                 1    97.92%          46                 3    93.48%
source/core/slang-com-object.h                                                                               20                 4    80.00%          10                 4    60.00%          35                 6    82.86%           4                 0   100.00%
source/core/slang-command-line.cpp                                                                           34                 8    76.47%           9                 2    77.78%          89                26    70.79%          22                 9    59.09%
source/core/slang-command-line.h                                                                             16                 6    62.50%          14                 6    57.14%          33                17    48.48%           0                 0         -
source/core/slang-command-options-writer.cpp                                                                233                23    90.13%          31                 1    96.77%         557                71    87.25%         204                49    75.98%
source/core/slang-command-options-writer.h                                                                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
source/core/slang-command-options.cpp                                                                       264                49    81.44%          44                 7    84.09%         532               119    77.63%         164                50    69.51%
